(Intercept),female,educ_NoHighSchool,educ_Bachelor,educ_Master,white,potexp,potexp2
8.02064443187104,-0.944943993830889,-0.876176152064227,0.632175023464551,1.1237049131224,0.194357280953408,0.141615629448612,-0.00277657646482348
8.64766971444996,-0.747065702749709,-0.640016205369169,0.681739631190404,1.06438454759696,0.192037182047582,0.126292751154894,-0.00244634631725256
9.09007959242729,-0.626060860056466,-0.573953876164152,0.648549322786154,1.02587269424905,0.155802947469911,0.112248747111556,-0.00216111704394886
9.39695485721349,-0.558370994420486,-0.553385236910964,0.643344979836174,0.996277099034507,0.133769864715289,0.101013165512677,-0.00190912686024997
9.6385740634296,-0.518249717348963,-0.528826377525668,0.618616064277619,0.964255991868008,0.125731890280304,0.0917343306919409,-0.00171829479712395
9.8337477169079,-0.48770325801829,-0.494910806757479,0.61482492730682,0.93949200071544,0.124098282911516,0.0837368015439826,-0.00155374802463141
9.99932665167587,-0.46881844582091,-0.497160075274337,0.594891925620174,0.913613627045105,0.122899694456289,0.077776008765426,-0.0014290545664725
10.1168502868642,-0.450517848104001,-0.491226076313593,0.58898699477665,0.896129307073272,0.119464245299297,0.0751052688596493,-0.00136830624760609
10.2396394206185,-0.436078692137055,-0.480212038675738,0.591414708279674,0.891172494624698,0.110573501950176,0.0707414472623174,-0.0012727560839887
10.3565759654147,-0.433054194481711,-0.482001665787095,0.578860383968056,0.870934359709604,0.109155094006622,0.067875146745417,-0.00121165479098702
10.4671708362328,-0.42776810262583,-0.487554529283536,0.573217055278555,0.864035718209785,0.102259925647506,0.0652317444316916,-0.0011551688226385
10.5724893823291,-0.426518517238359,-0.496236603233923,0.582450112501441,0.865792355939272,0.0962496696963449,0.0624310745940427,-0.00109600328784808
10.6717055850969,-0.421859614543065,-0.501293867037085,0.581358401596332,0.860915704546823,0.0943418915926551,0.0601543851376833,-0.00104769393621611
10.7659416634819,-0.41559785854547,-0.514987420652297,0.574277999793709,0.861745888563889,0.0952277650595122,0.0586795932648719,-0.00101527938868127
10.8694737032444,-0.414933564634517,-0.508925262272979,0.576971782032599,0.864710196595254,0.0854820866989589,0.0576041396947463,-0.000991631284505379
10.9641317789421,-0.408700932423757,-0.512920267974477,0.57663386905798,0.867551765856628,0.0925701700948575,0.056377780885872,-0.000964014970741361
11.0777458672083,-0.417157351730365,-0.499133379932227,0.598154946032464,0.901992956764554,0.0857800257191443,0.0558730767277949,-0.000945363333785067
11.2041756733044,-0.419960302231452,-0.496980469371088,0.586914753253213,0.933293466872032,0.0885931792302611,0.0573141903896731,-0.000975981960341605
11.4198039212235,-0.420172180831737,-0.518097457619876,0.583951546041787,0.989143063484807,0.0987652669979401,0.0557153431071096,-0.000936431047598228
